run_dir,output_path,best_val_loss,best_epoch,n_params,loss_recon,loss_kl_lat,loss_kl_mix,loss_smooth,loss_ent,loss_align,loss_l1,MSE,RMSE,MAE,Pearson,Spearman,CCC,Cosine,JSD,Hellinger,EMD
W.2025-11-02_084339.d2a33418,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_084339.d2a33418,0.270692021,500,60503,0.1,0.01,0.5,0.05,-0.1,0,0.001,0.060028271,0.245006676,0.084518925,-0.034679335,0.034752634,-0.033452256,0.038551197,0.653483376,0.951001939,0.03159549
W.2025-11-02_093800.db9e28bc,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_093800.db9e28bc,0.248561591,500,60503,0.05,0.05,0,0.05,-0.1,0.1,0.0001,0.060074948,0.245101913,0.084853908,-0.039369704,-0.011334078,-0.039274164,0.033766558,0.656456832,0.952923784,0.030803292
W.2025-11-02_000610.adff3c28,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_000610.adff3c28,0.166050315,337,60503,0.05,0.001,1,0.1,-0.05,0.5,0.001,0.060140151,0.24523489,0.083020801,-0.00446728,-0.057134286,-0.001417825,0.064331678,0.64359522,0.935860881,0.032920381
W.2025-11-02_144233.bcdd3845,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_144233.bcdd3845,0.863683581,331,60503,0.2,0.05,0,0.2,-0.1,0.5,0,0.060207202,0.245371558,0.085685845,-0.064496836,0.062981099,-0.055494253,0.013475613,0.663891284,0.956177956,0.033649124
W.2025-11-02_114533.0dc3daa7,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_114533.0dc3daa7,0.604299903,74,60503,0.2,0.001,1,0.1,-0.1,0.5,0.001,0.060217507,0.245392556,0.083959883,-0.016622529,-0.019798438,-0.020101533,0.052982937,0.645179578,0.937218361,0.032545945
W.2025-11-02_045454.e23578e8,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_045454.e23578e8,0.132434845,500,60503,0.05,0.001,0,0.1,-0.05,0,0.001,0.060244233,0.245447007,0.081232725,0.029994924,0.034919102,0.029901655,0.094558782,0.624018368,0.921393137,0.032712719
W.2025-11-01_170802.e806319c,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_170802.e806319c,0.238682434,500,60503,0.05,0.05,0,0,-0.1,0,0.0001,0.060287654,0.245535443,0.084600676,-0.03585994,0.031898382,-0.034414379,0.036715578,0.650041159,0.940544249,0.032606402
W.2025-11-02_161737.b0be9b65,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_161737.b0be9b65,0.478757381,500,60503,0.2,0.001,0.5,0.1,-0.1,0,0.001,0.060309118,0.245579147,0.081597818,0.043463563,-0.04699124,0.023925,0.105170273,0.614927464,0.916812034,0.032942337
W.2025-11-01_220656.f3c915ed,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_220656.f3c915ed,0.52975291,155,60503,0.2,0.001,1,0.2,-0.05,0.5,0.0001,0.060334318,0.245630451,0.084907636,-0.037485869,-0.11263953,-0.036098049,0.035094457,0.657216235,0.949562592,0.032316225
W.2025-11-01_194327.1536a8d5,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_194327.1536a8d5,0.203488648,87,60503,0.05,0.001,0,0.05,-0.05,0.5,0.0001,0.060356588,0.245675778,0.084019068,-0.016713852,0.017020172,-0.020052766,0.053006658,0.649339853,0.945063473,0.031383187
